name N S Var Evar ESimp EQ O ENee EPielou EHeip BP SimpDom Nmax McN skew logmodskew chao1 ace jknife1 jknife2 margalef menhinick preston_a preston_S
1734.BD.NBS1055 48022 392 157087.97951354453 0.1922285558538882 0.0874 0.10347865896564323 0.342996279766 -0.015555885823373295 0.7428886728887184 0.21338891438801263 0.119216192578 0.9708148061 5725 17.6315022281 253.982650482 1.0036872866567657 402.270484141 399.432697956 412 414 36.2728420304352 1.7888171308855978 0.34376253388815137 514.8040492589494
2338.0701.1.M 6261 37 516425.951951952 0.16797516131949708 0.0539 0.1074109682346096 0.174231730533 -0.1586650226507285 0.32354620532434897 0.06156988908243463 0.684714901773 0.498705705526 4287 85.4016930203 527.508435686 0.802211165720214 37.0 37.346952273 38 28 4.118005946391528 0.46760578151499044 0.2716507511918471 95.71589987624213
963.Iguana.78.051211.LAB.vial.610 98224 536 540442.8140047427 0.1656213898747868 0.0586 0.09596971599813986 0.299596657533 -0.012282131810821951 0.7059089440708708 0.1559602946702337 0.118463919205 0.968165601287 11636 20.1315360808 256.06333341 1.0620959341682232 540.242467434 544.282465145 557 529 46.5419510303162 1.7102357546656821 0.32386773063314395 654.1368036863882
1642.MS00384 78852 5808 23060.71569792513 0.40444014058989963 0.0079 0.16311914813743267 0.420905253822 -0.0006571977950589589 0.7976702211140979 0.17300874114169842 0.143801044996 0.97829013074 11339 15.8017551869 534.879593791 1.860654559871578 5984.8310714 6169.93488886 6509 5823 515.0182790520657 20.683319996293907 0.31603044348516773 520.0767242234831
1034.CHG4 79582 1581 40887.15885075141 0.24348320536432277 0.0584 0.12115067675257285 0.305631173355 -0.003283484394555901 0.7491409567421851 0.1570533275243314 0.043250986404 0.989167156592 3442 8.10987409213 136.071066914 1.0231551655745588 1600.74708358 1628.9287159 1686 1515 140.01452870637058 5.604339617906697 0.407989949599594 1357.305031387854
1674.McG.F110715Ly6R3 12229 1966 198.07207851542375 0.5697344485219771 0.1635 0.21564492110920752 0.549714181897 -0.0014437345430664006 0.8923829840812482 0.44185056448443627 0.0192983890751 0.996888773986 236 3.6879548614 106.119784848 1.0124136760833116 2007.37808902 2073.25060951 2196 1790 208.78566998451794 17.778210373526658 0.6227475987672314 1176.496741716791
1001.SKD6 17646 1655 676.1391715405663 0.4329108128947754 0.144 0.17139097874627873 0.470538379332 -0.0021898810484403874 0.8621833766638586 0.3596907256059909 0.0221579961464 0.99580424408 391 4.21625297518 103.204750569 0.9507972239490504 1689.56365085 1737.62912573 1827 1574 169.15067245304402 12.458761170777025 0.5683057829601702 1242.0564964611194
1288.MAH11Sept07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence 8262 388 2435.210607634727 0.3398905453705774 0.1573 0.14566718198962803 0.413876598113 -0.011066580631282422 0.8092143748191644 0.3189366781835941 0.058702493343 0.983616386625 485 9.93706124425 147.716379538 0.7904689510723716 390.081884636 395.031905994 406 351 42.907405970681324 4.268636074166107 0.495740571635987 475.6201566336263
894.YY968.lane5.NoIndex.L005 25484 804 18023.698568180265 0.28056718082640153 0.0529 0.12989229622412768 0.348408834809 -0.0060111128900458615 0.7423903374075386 0.17745216846184564 0.102495683566 0.976470622147 2612 16.2808036415 250.889632773 1.1372228398885422 835.833948794 853.0169491 896 857 79.14600312800908 5.036423602717668 0.37813393046089466 468.9817540264334
2192.H07a.Foot.3728.lane6.NoIndex.L006 28515 580 46282.96621702103 0.3005548600651977 0.0497 0.13658135026582363 0.338077660276 -0.007912705153913749 0.7164175983717148 0.16312323775525792 0.135367350517 0.965318458014 3860 21.2835349816 286.170547028 1.1224090093703298 587.229169184 587.728207136 605 589 56.44273029958615 3.434719736287375 0.3500851176569933 392.0369825632254
2229.W2.T3.4.HP2.Thomas.CMB.Seaweed.lane5.NoIndex.L005 45313 431 161695.81440673393 0.1900406726745365 0.0641 0.10421946412368299 0.293659932668 -0.01404590900225766 0.6894919772786495 0.15007354817051788 0.125129653742 0.963817112953 5670 18.6039326463 233.503490604 0.9786346129623008 437.07490042 443.006521429 457 430 40.10689234469898 2.0247241460256737 0.34176028587394314 485.9030844928238
755.SSFA.L3.D3.10.05.11.lane1.NoIndex.L001 68252 3021 7845.113043354356 0.3231244715779742 0.0611 0.14212797448330083 0.374785384102 -0.001457972379176801 0.8053459990710826 0.20991040969302147 0.0328635058313 0.994582995154 2243 6.36171833792 143.130238595 1.183841578362462 3085.70118778 3160.10998847 3306 2966 271.3152731527942 11.563599301725969 0.43887838836027543 1575.4761928185876
1453.44923SDZ3.A4.Pnem.stom 7684 53 181389.94194484755 0.16650380453958635 0.1056 0.10321665177287676 0.21992034416 -0.11535211286335549 0.5260562031537702 0.1360303360502442 0.267438833941 0.821381720056 2055 50.4294638209 302.189783878 0.6490922117777155 53.0 53.3782057806 54 45 5.812071892552968 0.6046195580650648 0.3340423019367152 155.60149563451446
662.M22 87792 275 2344364.681300597 0.12453087339623115 0.0418 0.08447218291141112 0.223460451977 -0.027244222687832737 0.584150944139793 0.09344336789985712 0.228312374704 0.913021266214 20044 35.270867505 331.717667365 1.024338697237844 278.689362412 285.337954268 295 264 24.07156319155987 0.9281223316521322 0.28298889624389656 373.725819413985
1883.2008.423.Crump.Artic.LTREB.main.lane2.NoIndex 78779 4626 1964.4015011275862 0.35748457672580725 0.1287 0.1506876655967867 0.422347299722 -0.0008961451563017181 0.8588901136783433 0.30380027462195736 0.0109546960484 0.998319897974 863 1.8799426243 58.1666344947 0.916749904546226 4698.9077957 4794.69835262 5005 4402 410.2213230893597 16.481638966017034 0.542537053647875 3582.4703989764334
1288.MAE20July07.McMahon.Pool.1.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.7.1.sequence 3784 254 2168.013195978961 0.398691531196139 0.0932 0.16731545697480643 0.400636330342 -0.01463344430823311 0.7536495215122372 0.2526619699066568 0.14455602537 0.957755811719 547 24.2071881607 283.902161853 0.9604221027057249 255.238422517 260.190200425 268 209 30.70933615329744 4.129126163640954 0.42993585251785227 188.55016918926776
1736.O7.0611 49715 1323 56821.96127743416 0.27930517941816924 0.0243 0.12859849541855584 0.344293219651 -0.003690798980690204 0.7193687483085317 0.13238743010829596 0.138167555064 0.968851196869 6869 21.7198028764 340.566696335 1.3598541755262106 1374.71935018 1393.39249964 1459 1418 122.24823593216661 5.933570711630777 0.33139627851130254 462.7651863080149
1288.TBH25July08.McMahon.Pool.2.and.1percentPhiX.110310.HWUSI.EAS552R.0357.s.2.1.sequence 35483 455 174154.7376482548 0.22277349773936217 0.0338 0.12091573601286298 0.215067236965 -0.01143191831200462 0.5950316290043954 0.08184876587739781 0.174337006454 0.935003522345 6186 29.3774483556 278.547055212 1.05407515104152 458.330490337 467.544804327 483 398 43.333805220699716 2.4154676812484266 0.32324372485641695 345.6251861556701
